activity_date,employee_id,facility_address,facility_city,facility_id,facility_name,facility_state,facility_zip,grade,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,score,serial_number,service_code,service_description,zip_five,grade_numeric,latitude,longitude
2016-05-03,EE0000971,43862 1/2 15TH ST W,LANCASTER,FA0222734,GRANTS KITCHEN,CA,93534,A,OW0227532,GRANT SAMUELLO GUIDI,RESTAURANT (0-30) SEATS HIGH RISK,1632,GRANTS KITCHEN,INACTIVE,PR0177759,97,DASCMQBU6,1,ROUTINE INSPECTION,93534,4.0,35.211147,-117.777626
2015-12-17,EE0000468,101 N FAIRFAX AVE,LOS ANGELES,FA0051827,THE VITAMIN SHOPPE #193,CA,90036,A,OW0038125,"VITAMIN SHOPPE INDUSTRIES, INC","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,THE VITAMIN SHOPPE,ACTIVE,PR0004177,96,DA1GJNCWT,1,ROUTINE INSPECTION,90036,4.0,34.074427,-118.361522
2016-02-22,EE0000742,408 W AUTO CENTER DR,CLAREMONT,FA0031140,ROUND TABLE PIZZA,CA,91711,A,OW0023881,MB&G INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,ROUND TABLE PIZZA,ACTIVE,PR0040075,97,DAFSPFMEJ,1,ROUTINE INSPECTION,91711,4.0,35.211147,-117.777626
2017-01-26,EE0000882,15619 S CRENSHAW BLVD,GARDENA,FA0027611,PANCAKE FACTORY,CA,90249,A,OW0015856,HOLMES DALE,RESTAURANT (61-150) SEATS HIGH RISK,1638,PANCAKE FACTORY,ACTIVE,PR0041815,91,DATYYUJD0,1,ROUTINE INSPECTION,90249,4.0,33.600208,-116.234382
2016-09-23,EE0000838,7950 FOUNTAIN AVE,WEST HOLLYWOOD,FA0023724,FOUNTAIN LIQUOR & MARKET,CA,90046,A,OW0015563,"HILTON MOHAMMED, ET AL","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,FOUNTAIN LIQUOR & MARKET,ACTIVE,PR0004226,94,DAJDFVJLQ,1,ROUTINE INSPECTION,90046,4.0,34.0943326,-118.3428229
2016-09-15,EE0000392,10514 LOWER AZUSA RD,EL MONTE,FA0203657,PREMIER DESSERT KITCHEN,CA,91731-1209,A,OW0208806,PREMIER DESSERT KITCHEN,RESTAURANT (31-60) SEATS HIGH RISK,1635,PREMIER DESSERT KITCHEN,INACTIVE,PR0176059,94,DANRQXOJA,1,ROUTINE INSPECTION,91731,4.0,34.0919612,-118.0396496
2016-09-15,EE0000742,2975 FOOTHILL BLVD,LA VERNE,FA0033492,LA PALOMA,CA,91750,A,OW0027866,"PARKER,JOE W DBA",RESTAURANT (61-150) SEATS HIGH RISK,1638,LA PALOMA,ACTIVE,PR0039227,94,DA68Y0EIF,1,ROUTINE INSPECTION,91750,4.0,34.1146234,-117.769214
2016-08-30,EE0000606,8425 FIRESTONE BLVD,DOWNEY,FA0140077,EMBASSY SUITES HOTEL,CA,90241-3843,A,OW0103158,R L J II- EM DOWNEY LP,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,EMBASSY SUITES HOTEL - FOOD MARKET,ACTIVE,PR0187030,99,DAZQ0RUIM,1,ROUTINE INSPECTION,90241,4.0,33.9396093,-118.1303613
2016-11-17,EE0000826,8223 DE SOTO AVE,CANOGA PARK,FA0034692,LA PAZ BAKERY,CA,91304,A,OW0002900,"ARAKIAN, ANET",RESTAURANT (0-30) SEATS HIGH RISK,1632,LA PAZ BAKERY,ACTIVE,PR0003354,94,DALVDYHV5,1,ROUTINE INSPECTION,91304,4.0,34.2084315,-118.588495
2016-09-27,EE0000206,12904 SHERMAN WAY,NORTH HOLLYWOOD,FA0175154,VARDASHEN MARKETPLACE,CA,91605,A,OW0009422,DANIELYAN ZVART,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,VARDASHEN MARKETPLACE,ACTIVE,PR0168266,90,DAR0YUDAQ,1,ROUTINE INSPECTION,91605,4.0,35.210352,-117.777821
2016-06-08,EE0001000,42041 W 20TH ST,LANCASTER,FA0006863,ANTELOPE VALLEY WINERY,CA,93536,A,OW0010282,"DONATO, FRANK AND CYNDEE","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ANTELOPE VALLEY WINERY,ACTIVE,PR0032748,97,DAG6J3A5Q,1,ROUTINE INSPECTION,93536,4.0,34.6465232,-118.1656541
2016-03-16,EE0000035,129 N HARVARD AVE,CLAREMONT,FA0051661,THE PRESS,CA,91711,A,OW0003231,"ASHWORTH, MARK THOMAS",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE PRESS,ACTIVE,PR0001033,97,DACOBVGRU,1,ROUTINE INSPECTION,91711,4.0,35.211147,-117.777626
2015-10-26,EE0000742,546 E BASELINE RD,CLAREMONT,FA0061843,EURO CAFE,CA,91711,A,OW0024026,"MEDEIROS, JOE C",RESTAURANT (31-60) SEATS HIGH RISK,1635,EURO CAFE,INACTIVE,PR0036057,97,DAQTN00M6,1,ROUTINE INSPECTION,91711,4.0,34.1215426,-117.7062947
2017-10-17,EE0000725,11120 ATLANTIC AVE,LYNWOOD,FA0066479,MARISCOS EL VIEJON,CA,90262,A,OW0040144,"ZAMUDIU, VERONICA",RESTAURANT (31-60) SEATS HIGH RISK,1635,MARISCOS EL VIEJON,ACTIVE,PR0020567,96,DAB25NY1X,1,ROUTINE INSPECTION,90262,4.0,33.9272313,-118.1851098
2017-11-03,EE0000855,9777 SANTA MONICA BLVD,BEVERLY HILLS,FA0180816,TEMPURA ENDO,CA,90210,A,OW0186160,"TEMPURA ENDO USA, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,TEMPURA ENDO,ACTIVE,PR0174635,92,DAQ3GXSKW,1,ROUTINE INSPECTION,90210,4.0,34.0680174,-118.4082581
2015-07-30,EE0000682,6269 VAN NUYS BLVD,VAN NUYS,FA0022806,LOS TRES HERMANOS,CA,91401,A,OW0014312,GUTIERREZ OMAR,RESTAURANT (61-150) SEATS HIGH RISK,1638,LOS TRES HERMANOS,ACTIVE,PR0023435,95,DAV70GCBX,1,ROUTINE INSPECTION,91401,4.0,34.1841579,-118.448812
2015-08-26,EE0000744,17226 LAKEWOOD BLVD,BELLFLOWER,FA0036494,LITTLE CAESARS #5770,CA,90706,A,OW0021931,"LITTLE CAESAR, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LITTLE CAESARS #5770,ACTIVE,PR0003746,91,DAIU85L4B,1,ROUTINE INSPECTION,90706,4.0,33.8759197,-118.142682
2015-07-30,EE0000735,19185 GOLDEN VALLEY RD,CANYON COUNTRY,FA0043756,PANERA BREAD,CA,91351,A,OW0030197,RISEN BREAD LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,PANERA BREAD,ACTIVE,PR0017391,96,DARABOHIQ,1,ROUTINE INSPECTION,91351,4.0,35.214473,-117.777015
2017-03-29,EE0000884,2881 W OLYMPIC BLVD,LOS ANGELES,FA0015045,CHO MAN WON,CA,90006,A,OW0000010,"1 EVEN, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,CHO MAN WON,ACTIVE,PR0021365,90,DA8Y73IIR,1,ROUTINE INSPECTION,90006,4.0,34.052721,-118.296991
2017-10-24,EE0000558,23545 PALOMINO DR # F,DIAMOND BAR,FA0225078,INTIRAYMI  RESTAURANT,CA,91765,A,OW0229523,INTIRAYMI RESTAURANT,RESTAURANT (31-60) SEATS HIGH RISK,1635,INTIRAYMI  RESTAURANT,ACTIVE,PR0180374,100,DAXSPVW28,1,ROUTINE INSPECTION,91765,4.0,34.0232054,-117.8090706
2017-01-26,EE0000873,1747 W ARTESIA BLVD,GARDENA,FA0163498,JERSEY MIKE'S SUBS,CA,90248,A,OW0127099,NACHEF ENTERPRISES LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,JERSEY MIKE'S SUBS,ACTIVE,PR0151717,94,DA6MJ7F8T,1,ROUTINE INSPECTION,90248,4.0,33.8726805,-118.291086
2016-10-25,EE0000923,5008 N FIGUEROA ST,LOS ANGELES,FA0038664,MCDONALD'S #26929,CA,90042,A,OW0027092,P. R. PERNECKY MANAGEMENT,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALD'S REST # 26929,ACTIVE,PR0044311,94,DAEZWJXLQ,1,ROUTINE INSPECTION,90042,4.0,34.1049319,-118.2015297
2017-06-14,EE0000730,730 N AVALON BLVD,WILMINGTON,FA0139010,RESTAURANTE SAN MIGUEL,CA,90744-5809,A,OW0102280,EL NUEVO SAN MIGUEL INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,RESTAURANTE SAN MIGUEL,ACTIVE,PR0123390,94,DA3UUJXNL,1,ROUTINE INSPECTION,90744,4.0,33.7790213,-118.2622571
2015-08-20,EE0000250,929 S VICTORY BLVD,BURBANK,FA0005239,ALAMEDA MARKET & DELI,CA,91502,A,OW0022899,"MAHFOOD, HASSAN ANTANIOS",RESTAURANT (0-30) SEATS HIGH RISK,1632,ALAMEDA MARKET & DELI,ACTIVE,PR0023838,94,DAQNBRREZ,1,ROUTINE INSPECTION,91502,4.0,34.1671646,-118.3085837
2016-12-21,EE0000267,15467 E VALLEY BLVD,LA PUENTE,FA0036138,LUCKY LIQUOR,CA,91746,A,OW0001885,"AHN, YONG S","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LUCKY LIQUOR,ACTIVE,PR0032151,95,DAL5UXRJK,1,ROUTINE INSPECTION,91746,4.0,33.684888,-116.275341
2017-01-26,EE0000210,6202 LAUREL CANYON BLVD,NORTH HOLLYWOOD,FA0013024,CARL'S JR #13032,CA,91606,A,OW0032186,SENIOR CLASSIC LEASING LLC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,CARLS JR #13032,ACTIVE,PR0047662,97,DAZOAP4GM,1,ROUTINE INSPECTION,91606,4.0,34.18326,-118.39625
2017-04-21,EE0000594,3584 S FIGUEROA ST # #5,LOS ANGELES,FA0044264,PIZZA STUDIO,CA,90007,A,OW0035697,THE PIZZA STUDIO OPERATION C,RESTAURANT (31-60) SEATS MODERATE RISK,1634,PIZZA STUDIO,ACTIVE,PR0015683,96,DAH6CIFQV,1,ROUTINE INSPECTION,90007,4.0,34.0185773,-118.281862
2016-06-01,EE0001014,425 WASHINGTON BLVD,VENICE,FA0179731,CHARCOAL VENICE,CA,90292-5213,A,OW0185224,CHARCOAL VENICE PARTNERS LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CHARCOAL VENICE,ACTIVE,PR0173385,90,DA1FBQZOH,1,ROUTINE INSPECTION,90292,4.0,33.9814746,-118.4629732
2016-04-26,EE0000633,380 WORLD WAY T33,LOS ANGELES,FA0137997,KFC,CA,90045,A,OW0008403,CMS CAMACHO VENTURES LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KFC,INACTIVE,PR0122222,90,DA00XEFEN,1,ROUTINE INSPECTION,90045,4.0,35.211147,-117.777626
2016-03-09,EE0000558,3024 TEMPLE AVE,POMONA,FA0017012,COUNTRY KWIK DELI #4,CA,91768,A,OW0012996,"GAUTHIER,BARRY",RESTAURANT (0-30) SEATS MODERATE RISK,1631,COUNTRY KWIK DELI #4,ACTIVE,PR0005882,90,DATHAXATX,1,ROUTINE INSPECTION,91768,4.0,34.0414556,-117.7988724
2017-05-02,EE0000688,20515 DEVONSHIRE ST,CHATSWORTH,FA0027634,PANDA EXPRESS #433,CA,91311,A,OW0027458,PANDA EXPRESS INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,PANDA EXPRESS #433,ACTIVE,PR0044502,96,DAJXEI8XL,1,ROUTINE INSPECTION,91311,4.0,34.2575579,-118.5804906
2016-04-14,EE0000747,1209 S SUNSET AVE,WEST COVINA,FA0052598,TRIPLE S CHEVRON,CA,91790,A,OW0032731,SHOKER TRADING INC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,TRIPLE S CHEVRON,ACTIVE,PR0019434,95,DAVERHP5T,1,ROUTINE INSPECTION,91790,4.0,34.0612239,-117.9463856
2017-04-18,EE0000721,848 W 7TH ST,LOS ANGELES,FA0056755,7-ELEVEN,CA,90017,B,OW0001220,"BALJINDER SIDHU - RAQBA, INC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,7-ELEVEN,ACTIVE,PR0004796,83,DA8CNNEPF,1,ROUTINE INSPECTION,90017,3.0,34.049041,-118.2596216
2015-09-01,EE0000971,44245 10TH ST W,LANCASTER,FA0162768,MV FISH MARKET,CA,93534,A,OW0126472,"MV FISH MARKET, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,MV FISH MARKET,ACTIVE,PR0150911,90,DAHN02MDK,1,ROUTINE INSPECTION,93534,4.0,34.6869272,-118.1485497
2017-11-01,EE0000905,3650 W MARTIN LUTHER KING JR. BLVD # K-1A,LOS ANGELES,FA0249019,AUNTIE ANNE'S PRETZEL,CA,90008,A,OW0243332,"MYLEE, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,AUNTIE ANNE'S PRETZEL,ACTIVE,PR0197730,94,DA0XAO6YV,1,ROUTINE INSPECTION,90008,4.0,35.210352,-117.777821
2016-01-11,EE0000923,2606 W SUNSET BLVD,LOS ANGELES,FA0036652,MAE PLOY RESTAURANT,CA,90026,A,OW0022543,"LUNGORN, AMNAJ",RESTAURANT (31-60) SEATS HIGH RISK,1635,MAE PLOY RESTAURANT,ACTIVE,PR0004094,90,DACIOVOJ2,1,ROUTINE INSPECTION,90026,4.0,34.0799835,-118.2701107
2016-03-24,EE0000884,3189 1/2 W OLYMPIC BLVD,LOS ANGELES,FA0159485,GETBBUL RESTAURANT,CA,90006,B,OW0124498,"PARKS FAMILY LIQUOR, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,GETBBUL RESTAURANT,INACTIVE,PR0147549,85,DATM0NOLA,1,ROUTINE INSPECTION,90006,3.0,34.0593126,-118.373689
2016-08-31,EE0000855,439 N BEVERLY DR,BEVERLY HILLS,FA0221383,THE FARM OF BEVERLY HILLS,CA,90210,A,OW0226478,"FARM OF BH, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE FARM OF BEVERLY HILLS,ACTIVE,PR0176363,97,DAMZQ0YRB,1,ROUTINE INSPECTION,90210,4.0,34.070611,-118.4027305
2017-01-09,EE0000731,1615 CABRILLO AVE,TORRANCE,FA0170262,BY BRAZIL,CA,90501,A,OW0178073,ANA CAROLINA IMBRIALE,RESTAURANT (61-150) SEATS HIGH RISK,1638,BY BRAZIL,ACTIVE,PR0160725,92,DAPPHB07L,1,ROUTINE INSPECTION,90501,4.0,33.8326041,-118.3147291
2017-10-04,EE0000860,29221 S WESTERN AVE,RANCHO PALOS VERDES,FA0250996,LOVE SUSHI,CA,90275-1126,B,OW0244990,YUN SOO BAE,RESTAURANT (31-60) SEATS HIGH RISK,1635,LOVE SUSHI,ACTIVE,PR0200093,80,DAMFTZOWA,1,ROUTINE INSPECTION,90275,3.0,33.7504351,-118.3093196
2015-09-11,EE0000520,21101 VENTURA BLVD,WOODLAND HILLS,FA0017036,COURTYARD BY MARRIOTT-MARKET,CA,91364,A,OW0038785,WH HOTEL PARTNERS LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,COURTYARD BY MARRIOTT-MARKET,ACTIVE,PR0020311,97,DAIFNFRLH,1,ROUTINE INSPECTION,91364,4.0,34.1677294,-118.5932277
2017-09-25,EE0000235,407 W DORAN ST,GLENDALE,FA0047902,SIPAN MARKET & DELI,CA,91203,A,OW0039634,"YEROUMIAN, GAMER","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,SIPAN MARKET & DELI,ACTIVE,PR0000311,97,DALRD01IH,1,ROUTINE INSPECTION,91203,4.0,34.1531747,-118.2755971
2017-03-23,EE0000873,1726 W 180TH ST,GARDENA,FA0224449,K & D TAKEOUT,CA,90248,A,OW0228920,K&D IMAGE PRODUCTION LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,K & D TAKEOUT,ACTIVE,PR0179664,95,DAWF4YIYW,1,ROUTINE INSPECTION,90248,4.0,33.867405,-118.307662
2016-06-15,EE0000724,803 E MANCHESTER AVE,LOS ANGELES,FA0159082,OHMANNA,CA,90001,A,OW0124115,CHOIBINGROUP,RESTAURANT (0-30) SEATS HIGH RISK,1632,OHMANNA,ACTIVE,PR0147145,93,DAATWBNPB,1,ROUTINE INSPECTION,90001,4.0,33.9602322,-118.2605666
2017-10-16,EE0000925,10036 HAWTHORNE BLVD,INGLEWOOD,FA0015005,CHINA TOWN EXPRESS #10,CA,90304,C,OW0033146,SJRY INVESTMENT INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINA TOWN EXPRESS #10,ACTIVE,PR0035175,70,DACKXVB3V,1,ROUTINE INSPECTION,90304,2.0,33.945053,-118.3528089
2016-10-25,EE0000431,3191 N GAREY AVE,POMONA,FA0035867,LOS JARRITOS,CA,91767,A,OW0022215,"LOPEZ,PEDRO F",RESTAURANT (61-150) SEATS HIGH RISK,1638,LOS JARRITOS,ACTIVE,PR0012525,90,DA0L0ILN4,1,ROUTINE INSPECTION,91767,4.0,34.1048104,-117.7486903
2017-10-24,EE0000827,1700 ARTESIA BLVD # A,REDONDO BEACH,FA0048239,SOUTH BAY SHELL,CA,90278,A,OW0022793,"MADANI, MIKE M","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SOUTH BAY SHELL,ACTIVE,PR0010558,97,DAWQ7ZJP3,1,ROUTINE INSPECTION,90278,4.0,33.8724754,-118.3809658
